source,target,rate,type
H3|Mitigated,H3|Recovered,0.051293294387550536,internal
H3|Compromised,H0|Compromised,0.008,spatial
H3|Compromised,H1|Compromised,0.008,spatial
H3|Compromised,H2|Compromised,0.008,spatial
H3|Compromised,H4|Compromised,0.008,spatial
H3|Compromised,H5|Compromised,0.008,spatial
H3|Compromised,H6|Compromised,0.008,spatial
H3|Compromised,H7|Compromised,0.008,spatial
H3|Compromised,H8|Compromised,0.008,spatial
H3|Compromised,H9|Compromised,0.008,spatial
H3|Compromised,H10|Compromised,0.008,spatial
H3|Compromised,H11|Compromised,0.008,spatial
H3|Compromised,H12|Compromised,0.008,spatial
H3|Compromised,H13|Compromised,0.008,spatial
H3|Compromised,H14|Compromised,0.008,spatial
H3|Compromised,H15|Compromised,0.008,spatial
H3|Compromised,H16|Compromised,0.008,spatial
H3|Compromised,H17|Compromised,0.008,spatial
H3|Compromised,H18|Compromised,0.008,spatial
H3|Compromised,H19|Compromised,0.008,spatial
H3|Compromised,H20|Compromised,0.008,spatial
H3|Compromised,H21|Compromised,0.008,spatial
H3|Compromised,H22|Compromised,0.008,spatial
H3|Compromised,H23|Compromised,0.008,spatial
H3|Compromised,H24|Compromised,0.008,spatial
H3|Compromised,H25|Compromised,0.008,spatial
H3|Compromised,H26|Compromised,0.008,spatial
H3|Compromised,H27|Compromised,0.008,spatial
H3|Compromised,H28|Compromised,0.008,spatial
H3|Compromised,H29|Compromised,0.008,spatial
H3|Compromised,H30|Compromised,0.008,spatial
H3|Compromised,H31|Compromised,0.008,spatial
H3|Compromised,H32|Compromised,0.008,spatial
H3|Compromised,H33|Compromised,0.008,spatial
H3|Compromised,H34|Compromised,0.008,spatial
H3|Compromised,H35|Compromised,0.008,spatial
H3|Compromised,H36|Compromised,0.008,spatial
H3|Compromised,H37|Compromised,0.008,spatial
H3|Compromised,H38|Compromised,0.008,spatial
H4|Normal,H4|Compromised,0.02020270731751945,internal
H4|Compromised,H4|Down,0.051293294387550536,internal
H4|Down,H4|Mitigated,0.051293294387550536,internal
H4|Mitigated,H4|Recovered,0.051293294387550536,internal
H4|Compromised,H0|Compromised,0.008,spatial
H4|Compromised,H1|Compromised,0.008,spatial
H4|Compromised,H2|Compromised,0.008,spatial
H4|Compromised,H3|Compromised,0.008,spatial
H4|Compromised,H5|Compromised,0.008,spatial
H4|Compromised,H6|Compromised,0.008,spatial
H4|Compromised,H7|Compromised,0.008,spatial
H4|Compromised,H8|Compromised,0.008,spatial
H4|Compromised,H9|Compromised,0.008,spatial
H4|Compromised,H10|Compromised,0.008,spatial
H4|Compromised,H11|Compromised,0.008,spatial
H4|Compromised,H12|Compromised,0.008,spatial
H4|Compromised,H13|Compromised,0.008,spatial
H4|Compromised,H14|Compromised,0.008,spatial
H4|Compromised,H15|Compromised,0.008,spatial
H4|Compromised,H16|Compromised,0.008,spatial
H4|Compromised,H17|Compromised,0.008,spatial
H4|Compromised,H18|Compromised,0.008,spatial
H4|Compromised,H19|Compromised,0.008,spatial
H4|Compromised,H20|Compromised,0.008,spatial
H4|Compromised,H21|Compromised,0.008,spatial
H4|Compromised,H22|Compromised,0.008,spatial
H4|Compromised,H23|Compromised,0.008,spatial
H4|Compromised,H24|Compromised,0.008,spatial
H4|Compromised,H25|Compromised,0.008,spatial
H4|Compromised,H26|Compromised,0.008,spatial
H4|Compromised,H27|Compromised,0.008,spatial
H4|Compromised,H28|Compromised,0.008,spatial
