source,target,rate,type
H1|Compromised,H80|Compromised,0.02,spatial
H1|Compromised,H81|Compromised,0.02,spatial
H1|Compromised,H82|Compromised,0.02,spatial
H1|Compromised,H83|Compromised,0.02,spatial
H1|Compromised,H84|Compromised,0.02,spatial
H1|Compromised,H85|Compromised,0.02,spatial
H1|Compromised,H86|Compromised,0.02,spatial
H1|Compromised,H87|Compromised,0.02,spatial
H1|Compromised,H88|Compromised,0.02,spatial
H1|Compromised,H89|Compromised,0.02,spatial
H1|Compromised,H90|Compromised,0.02,spatial
H1|Compromised,H91|Compromised,0.02,spatial
H1|Compromised,H92|Compromised,0.02,spatial
H1|Compromised,H93|Compromised,0.02,spatial
H1|Compromised,H94|Compromised,0.02,spatial
H1|Compromised,H95|Compromised,0.02,spatial
H1|Compromised,H96|Compromised,0.02,spatial
H1|Compromised,H97|Compromised,0.02,spatial
H1|Compromised,H98|Compromised,0.02,spatial
H1|Compromised,H99|Compromised,0.02,spatial
H1|Compromised,H100|Compromised,0.02,spatial
H1|Compromised,H101|Compromised,0.02,spatial
H1|Compromised,H102|Compromised,0.02,spatial
H1|Compromised,H103|Compromised,0.02,spatial
H1|Compromised,H104|Compromised,0.02,spatial
H1|Compromised,H105|Compromised,0.02,spatial
H1|Compromised,H106|Compromised,0.02,spatial
H1|Compromised,H107|Compromised,0.02,spatial
H1|Compromised,H108|Compromised,0.02,spatial
H1|Compromised,H109|Compromised,0.02,spatial
H1|Compromised,H110|Compromised,0.02,spatial
H1|Compromised,H111|Compromised,0.02,spatial
H1|Compromised,H112|Compromised,0.02,spatial
H1|Compromised,H113|Compromised,0.02,spatial
H1|Compromised,H114|Compromised,0.02,spatial
H1|Compromised,H115|Compromised,0.02,spatial
H1|Compromised,H116|Compromised,0.02,spatial
H1|Compromised,H117|Compromised,0.02,spatial
H1|Compromised,H118|Compromised,0.02,spatial
H1|Compromised,H119|Compromised,0.02,spatial
H1|Compromised,H120|Compromised,0.02,spatial
H1|Compromised,H121|Compromised,0.02,spatial
H1|Compromised,H122|Compromised,0.02,spatial
H1|Compromised,H123|Compromised,0.02,spatial
H1|Compromised,H124|Compromised,0.02,spatial
H1|Compromised,H125|Compromised,0.02,spatial
H1|Compromised,H126|Compromised,0.02,spatial
H1|Compromised,H127|Compromised,0.02,spatial
H1|Compromised,H128|Compromised,0.02,spatial
H1|Compromised,H129|Compromised,0.02,spatial
